,data,time_casa,time_visitante,resultado,id_partida,link
541,2008-08-02 19:20:00,Goiás,Portuguesa,4-0,gsm_id_578422,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/goias/portuguesa/578489/1/live
542,2008-08-02 19:20:00,Náutico,Figueirense,1-2,gsm_id_578422,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/nautico/figueirense/578490/1/live
543,2008-08-03 17:00:00,Flamengo,Cruzeiro,1-2,gsm_id_578422,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/flamengo/cruzeiro/578242/1/live
544,2008-08-03 17:00:00,Betim,Palmeiras,1-2,gsm_id_578422,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/ipatinga/palmeiras/578243/1/live
545,2008-08-03 17:00:00,São Paulo,Vasco,4-0,gsm_id_578422,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/sao-paulo/vasco/578244/1/live
546,2008-08-03 17:00:00,Grêmio,Vitória,2-0,gsm_id_578422,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/gremio/vitoria/578245/1/live
547,2008-08-03 19:10:00,Atlético PR,Botafogo,0-3,gsm_id_578422,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/atletico-pr/botafogo/578491/1/live
548,2008-08-03 19:10:00,Santos,Coritiba,1-3,gsm_id_578422,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/santos/coritiba/578492/1/live
549,2008-08-03 19:10:00,Atlético MG,Sport,2-1,gsm_id_578422,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/atletico-mg/sport/578493/1/live
550,2008-08-06 20:30:00,Grêmio,Betim,1-0,gsm_id_578422,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/gremio/ipatinga/578128/1/live
551,2008-08-06 20:30:00,Vasco,Coritiba,0-2,gsm_id_578422,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/vasco/coritiba/578129/1/live
552,2008-08-06 21:30:00,Atlético PR,Náutico,2-0,gsm_id_578422,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/atletico-pr/nautico/578152/1/live
553,2008-08-06 21:30:00,Sport,Portuguesa,2-0,gsm_id_578422,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/sport/portuguesa/578153/1/live
554,2008-08-06 22:50:00,Santos,Atlético MG,2-3,gsm_id_578422,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/santos/atletico-mg/578190/1/live
555,2008-08-06 22:50:00,Goiás,Flamengo,2-1,gsm_id_578422,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/goias/flamengo/578191/1/live
556,2008-08-06 22:50:00,Fluminense,São Paulo,3-1,gsm_id_578422,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/fluminense/sao-paulo/578192/1/live
557,2008-08-07 21:30:00,Figueirense,Botafogo,1-2,gsm_id_578422,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/figueirense/botafogo/578154/1/live
558,2008-08-07 21:30:00,Palmeiras,Vitória,3-0,gsm_id_578422,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/palmeiras/vitoria/578155/1/live
559,2008-08-07 21:30:00,Cruzeiro,Internacional,2-0,gsm_id_578422,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/cruzeiro/internacional/578156/1/live
560,2008-08-09 19:20:00,Flamengo,Atlético PR,1-0,gsm_id_578422,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/flamengo/atletico-pr/578494/1/live
561,2008-08-09 19:20:00,Atlético MG,Grêmio,0-4,gsm_id_578422,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/atletico-mg/gremio/578495/1/live
562,2008-08-09 19:20:00,São Paulo,Goiás,2-1,gsm_id_578422,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/sao-paulo/goias/578496/1/live
563,2008-08-10 17:00:00,Coritiba,Sport,3-0,gsm_id_578422,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/coritiba/sport/578246/1/live
564,2008-08-10 17:00:00,Botafogo,Palmeiras,1-0,gsm_id_578422,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/botafogo/palmeiras/578247/1/live
565,2008-08-10 17:00:00,Vitória,Vasco,5-0,gsm_id_578422,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/vitoria/vasco/578248/1/live
566,2008-08-10 17:00:00,Portuguesa,Cruzeiro,2-1,gsm_id_578422,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/portuguesa/cruzeiro/578249/1/live
567,2008-08-10 19:10:00,Betim,Fluminense,2-1,gsm_id_578422,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/ipatinga/fluminense/578497/1/live
568,2008-08-10 19:10:00,Náutico,Santos,1-0,gsm_id_578422,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/nautico/santos/578498/1/live
569,2008-08-10 19:10:00,Internacional,Figueirense,1-1,gsm_id_578422,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/internacional/figueirense/578499/1/live
570,2008-08-16 19:20:00,Atlético PR,Betim,5-0,gsm_id_578422,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/atletico-pr/ipatinga/578254/1/live
571,2008-08-16 19:20:00,Figueirense,Portuguesa,2-1,gsm_id_578422,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/figueirense/portuguesa/578257/1/live
572,2008-08-16 19:20:00,Cruzeiro,Vitória,2-1,gsm_id_578422,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/cruzeiro/vitoria/578258/1/live
573,2008-08-17 17:00:00,Grêmio,São Paulo,1-0,gsm_id_578422,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/gremio/sao-paulo/578251/1/live
574,2008-08-17 17:00:00,Goiás,Náutico,3-0,gsm_id_578422,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/goias/nautico/578252/1/live
575,2008-08-17 17:00:00,Santos,Flamengo,2-2,gsm_id_578422,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/santos/flamengo/578253/1/live
576,2008-08-17 17:00:00,Vasco,Internacional,4-0,gsm_id_578422,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/vasco/internacional/578256/1/live
577,2008-08-17 19:10:00,Fluminense,Atlético MG,1-0,gsm_id_578422,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/fluminense/atletico-mg/578250/1/live
578,2008-08-17 19:10:00,Sport,Botafogo,0-1,gsm_id_578422,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/sport/botafogo/578255/1/live
579,2008-08-17 19:10:00,Palmeiras,Coritiba,1-0,gsm_id_578422,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/palmeiras/coritiba/578259/1/live
580,2008-08-20 20:30:00,Vitória,Sport,0-0,gsm_id_578159,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/vitoria/sport/578159/1/live
581,2008-08-20 20:30:00,Coritiba,Figueirense,3-0,gsm_id_578159,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/coritiba/figueirense/578161/1/live
582,2008-08-20 21:30:00,Botafogo,Cruzeiro,1-0,gsm_id_578159,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/botafogo/cruzeiro/578157/1/live
583,2008-08-20 21:30:00,São Paulo,Atlético PR,3-1,gsm_id_578159,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/sao-paulo/atletico-pr/578166/1/live
584,2008-08-20 23:00:00,Internacional,Palmeiras,4-1,gsm_id_578159,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/internacional/palmeiras/578158/1/live
585,2008-08-20 23:00:00,Náutico,Fluminense,1-3,gsm_id_578159,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/nautico/fluminense/578162/1/live
586,2008-08-20 23:00:00,Betim,Santos,1-1,gsm_id_578159,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/ipatinga/santos/578164/1/live
587,2008-08-21 21:30:00,Portuguesa,Vasco,0-1,gsm_id_578159,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/portuguesa/vasco/578160/1/live
588,2008-08-21 21:30:00,Flamengo,Grêmio,2-1,gsm_id_578159,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/flamengo/gremio/578163/1/live
