,data,time_casa,time_visitante,resultado,id_partida,link
194,13/08/2017 16:00h,Atlético MG,Flamengo,2-0,gsm_id_2418967,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/atletico-mg/flamengo/2419160/1/live
195,13/08/2017 16:00h,Sport,Ponte Preta,0-0,gsm_id_2418967,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/sport/ponte-preta/2419162/1/live
196,13/08/2017 19:00h,Botafogo,Grêmio,1-0,gsm_id_2418967,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/botafogo/gremio/2419156/1/live
197,13/08/2017 19:00h,Atlético PR,Bahia,4-1,gsm_id_2418967,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/atletico-pr/bahia/2419161/1/live
198,14/08/2017 20:00h,Santos,Fluminense,0-0,gsm_id_2418967,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/santos/fluminense/2419158/1/live
199,19/08/2017 16:00h,Corinthians,Vitória,0-1,gsm_id_2418967,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/corinthians/vitoria/2419169/1/live
200,19/08/2017 19:00h,Flamengo,Atlético GO,2-0,gsm_id_2419167,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/flamengo/atletico-go/2419167/1/live
201,20/08/2017 11:00h,Grêmio,Atlético PR,0-0,gsm_id_2419167,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/gremio/atletico-pr/2419172/1/live
202,20/08/2017 16:00h,Cruzeiro,Sport,2-0,gsm_id_2419167,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/cruzeiro/sport/2419170/1/live
203,20/08/2017 16:00h,Bahia,Vasco,3-0,gsm_id_2419167,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/bahia/vasco/2419173/1/live
204,20/08/2017 16:00h,Ponte Preta,Botafogo,2-1,gsm_id_2419167,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/ponte-preta/botafogo/2419174/1/live
205,20/08/2017 16:00h,Avaí,São Paulo,1-1,gsm_id_2419167,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/avai/sao-paulo/2419175/1/live
206,20/08/2017 19:00h,Palmeiras,Chapecoense,0-2,gsm_id_2419167,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/palmeiras/chapecoense/2419168/1/live
